line_id,external_id,Latitude,Longitude
8042,7001823,45.734321,-73.524321
8043,7001823,45.734321,-73.524321
8044,7002919,45.654321,-73.854321
8045,7002919,45.654321,-73.854321
8046,7002919,45.654321,-73.854321
8047,7002919,45.654321,-73.854321
8057,453665,45.594321,-73.434321
8058,453665,45.594321,-73.434321
8059,453665,45.594321,-73.434321
8060,453665,45.594321,-73.434321
8062,776329,45.694321,-73.634321
8063,776329,45.694321,-73.634321
8067,453665,45.594321,-73.434321
8068,453665,45.594321,-73.434321
8069,453665,45.594321,-73.434321
8070,453665,45.594321,-73.434321
8071,453665,45.594321,-73.434321
8072,453665,45.594321,-73.434321
8084,778351,46.764321,-73.894321
8085,778351,46.764321,-73.894321
8086,778351,46.764321,-73.894321
8087,778351,46.764321,-73.894321
8089,93031,45.534321,-73.574321
8091,93031,45.534321,-73.574321
8092,93031,45.534321,-73.574321
8093,93031,45.534321,-73.574321
8094,93031,45.534321,-73.574321
8095,93031,45.534321,-73.574321
8096,93031,45.534321,-73.574321
8097,93031,45.534321,-73.574321
8098,93031,45.534321,-73.574321
8099,93031,45.534321,-73.574321
8100,93031,45.534321,-73.574321
8101,93031,45.534321,-73.574321
8102,93031,45.534321,-73.574321
8103,93031,45.534321,-73.574321
8104,93031,45.534321,-73.574321
8105,93031,45.534321,-73.574321
8106,93031,45.534321,-73.574321
8107,93031,45.534321,-73.574321
8108,93031,45.534321,-73.574321
8109,93031,45.534321,-73.574321
8110,93031,45.534321,-73.574321
8112,93031,45.534321,-73.574321
8113,93031,45.534321,-73.574321
8114,93031,45.534321,-73.574321
8115,93031,45.534321,-73.574321
8116,93031,45.534321,-73.574321
8285,1004914,45.534321,-73.614321
8286,1004914,45.534321,-73.614321
8287,1004914,45.534321,-73.614321
8288,1004914,45.534321,-73.614321
8294,7001797,46.824321,-71.274321
8295,7001797,46.824321,-71.274321
8296,7001797,46.824321,-71.274321
8297,7001797,46.824321,-71.274321
8298,7001797,46.824321,-71.274321
8299,7001797,46.824321,-71.274321
8300,775907,45.564321,-73.454321
8301,775907,45.564321,-73.454321
8302,775907,45.564321,-73.454321
8304,775907,45.564321,-73.454321
8305,775907,45.564321,-73.454321
8314,329447,46.794321,-71.274321
8315,329447,46.794321,-71.274321
8316,329447,46.794321,-71.274321
8317,329447,46.794321,-71.274321
8319,7002443,45.574321,-73.334321
8320,7002443,45.574321,-73.334321
8321,7002443,45.574321,-73.334321
8322,7002443,45.574321,-73.334321
8323,7002443,45.574321,-73.334321
8324,7002443,45.574321,-73.334321
8325,7002443,45.574321,-73.334321
8326,7002443,45.574321,-73.334321
8328,329447,46.794321,-71.274321
8329,329447,46.794321,-71.274321
8330,329447,46.794321,-71.274321
8331,329447,46.794321,-71.274321
8332,7002443,45.574321,-73.334321
8333,7002443,45.574321,-73.334321
8334,7002443,45.574321,-73.334321
8335,7002443,45.574321,-73.334321
8336,7002443,45.574321,-73.334321
8337,7002443,45.574321,-73.334321
8346,329447,46.794321,-71.274321
8348,329447,46.794321,-71.274321
8349,329447,46.794321,-71.274321
8350,395844,46.794321,-71.254321
8351,395844,46.794321,-71.254321
8352,395844,46.794321,-71.254321
8353,395844,46.794321,-71.254321
8378,708671,46.804321,-71.264321
8379,708671,46.804321,-71.264321
8380,708671,46.804321,-71.264321
8381,708671,46.804321,-71.264321
8382,708671,46.804321,-71.264321
8383,708671,46.804321,-71.264321
8384,708671,46.804321,-71.264321
8385,708671,46.804321,-71.264321
